"Crash Date (Year)","Crash Date (Month)",,,,,,,,,,,
,"January","February","March","April","May","June","August","September","October","November","December","Total"
"2008",180,184,73,19,4,3,0,2,16,102,255,838
"2009",176,85,56,23,0,1,2,1,25,14,212,595
"2010",144,193,31,17,5,0,0,2,6,60,195,653
"2011",167,140,57,22,2,1,0,0,22,36,109,556
"2012",106,102,29,9,0,0,0,0,14,35,114,409
"2013",102,123,103,18,6,1,0,1,10,75,158,597
"2014",147,133,82,26,4,1,0,1,6,100,62,562
"2015",120,118,58,12,2,0,2,0,0,46,60,418
"2016",93,95,41,27,4,0,0,1,4,31,120,416
"2017",117,36,42,9,6,0,3,1,10,26,120,370
"2018",93,81,71,52,1,1,0,0,10,75,71,455
"Total",1445,1290,643,234,34,8,7,9,123,600,1476,5869


